,0
0,น้ำพริกเผา
1,มิโสะ
2,น้ำตาลปึก
3,เส้นมาม่า
4,เนื้อมะพร้าวอ่อน
5,เนื้อปู
6,น้ำซุปกระดูกไก่
7,กระดูกวัวส่วนสันหลัง
8,ซิอิ๊วดำ
9,หมูกรอบ
10,โยเกิร์ตรสธรรมชาติ
11,ข้าวเหนียวมูน
12,ปลาทู
13,บ็อกโคลี่
14,พริกไทยป่น
15,กระวาน
16,ยอดชะอม
17,ปลาร้า
18,ผัดกระเฉด
19,เส้นใหญ่
20,หมูเด้ง
21,ยอดผักคะน้า 
22,หอยนางรม
23,ปลาเล็กกรอบ
24,ส้มโอ
25,เนื้อขนุน
26,ดอกเก๊กฮวยแห้ง
27,ปลาจะละเม็ด
28,พริกแห้งเผา
29,น้ำแข็ง
30,กระเทียมดอง
31,ซี่โครงกระดูกอ่อน
32,โป๊ยกั๊ก
33,มะกรูด
34,เนื้อส้มโอ
35,ซีส
36,งาดำคั่ว
37,มะม่วงดิบ
38,มะพร้าวขูดคั่ว
39,เห็ดนางฟ้า
40,ยอดผักคะน้า       
41,น้ำจิ้มสำหรับทานกับไก่ทอด
42,หนังเป็ด
43,น้ำจิ้มไก่แม่ประนอม
44,ผักตำลึง
45,พริก
46,เส้นหมี่ซั่ว
47,ขากบ
48,สาหร่ายทะเลอบแห้ง
49,พริกแห้งใหญ่
50,ยอดอ่อนผักปั๋ง
51,ลูกชิ้นปลา
52,มะเฟืองสุก
53,กิมจิ 
54,พัวข่า อ่อน
55,น้ำซุปกระดูก
56,น้ำมะขามเปียก
57,ผงขมิ้นชันผสมอาหาร
58,ซิอิ๊วขาว
59,เนื้อปลาคัง
60,ganmodoki
61,น้ำซุปไก่
62,ซีอิ้วดำ
63,พริกป่น
64,น้ำเปล่า  
65,น้ำพริกกะปิ
66,แครอท
67,ซุปไก่
68,มันเทศสีม่วง
69,ผงซุปเนื้อ
70,โสมเกาหลี
71,กล้วยน้ำว้า
72,ซี่โครงไก่
73,ถั่วเขียวนึ่ง
74,ใบย่านาง
75,น้ำผึ้ง
76,ผักชี
77,ปลากะพง
78,พริกหยวกเขียว
79,แหนม
80,เนื้อปลาลวก
81,โอโคโนมิยากิ
82,โซดา
83,ลูกยอสุก
84,แป้งข้าวโพด
85,มายองเนส
86,เม็ดมะม่วงหิมพานต์
87,ใบเมี่ยง
88,ลูกเกต
89,น้ำตาลปิ๊บ
90,เส้นสปาเก็ตตี้
91,พริกหวาน
92,ดอกแค
93,ซอสเห็ดหอม
94,เห็ด
95,น้ำปลาสำหรับปรุงน้ำยำ
96,มาม่า
97,ผงแกงกะหรี่
98,ปลาแห้ง
99,พริกไทยดำ
100,กิมจิ
101,มะระพอคำ
102,คื่นฉ่ายเป็นท่อน
103,ใบไผ่
104,สะตอ
105,เนื้อวัว
106,มะพร้าวขูด
107,น้ำตาลปี๊บ  
108,พริกกะเหรียง
109,โคชูจัง
110,พริกน้ำปลา
111,ถั่งงอก
112,น้ำเย็นจัด
113,สายบัว
114,ยอดผักหวาน
115,ซอสมะขามเปียก
116,ผงซุปรสหมู  
117,ใบกะเพรา 
118,มะเขือเทศ
119,ไข่เป็ด
120,กล้วยน้ำว้าดิบ
121,เนื้อลิ้นจี่สด
122,ซีอิ๊วญี่ปุ่น
123,พริกหยวก
124,ซีอิ๊วขาวเกาหลี
125,นํ้าเปล่า
126,น้ำจิ้มปอเปี๊ยะ
127,อ้อย
128,นํ้าปลา
129,น้ำมันมะกอก
130,คอหมู
131,ข้าวหุงสุก
132,ไส้อ่อน
133,พริกสดเฉียง
134,ใบตะไคร้
135,มะเขือ
136,น้ำมะพร้าว
137,เกลือ  
138,น้ำมันหอย
139,ซอสน้ำมันหอย
140,น้ำจิ้มปอเปี๊ยะทอด
141,น้ำเชื่อม
142,หัวกะทิ
143,ผงขมิ้น
144,ซีอิ่วขาว
145,มะนาวคั้น
146,น้ำมะขามเปี๊ยก
147,ตะลิงปลิง
148,เห็ดมาริตา
149,หมูป่า
150,ข้าวสารเจ้า
151,ผัดชี
152,พริกแกงฮังเล
153,ไชโป้ว
154,ก้านบอน
155,ไหลบัว
156,ผงพะโล้
157,หมูสด
158,หูหมู
159,แป้งมัน
160,น้ำกระเทียมดอง
161,หอมแดงเจียว  
162,เปลือกพริกแผ้ง
163,คึ้นฉ่าย
164,นำมันพืชสำหรับทอดปลา
165,มิริน
166,ไข่นกกระทา
167,ปลาเนื้ออ่อน
168,ถั่วพู
169,หอมแดงซอย  
170,ซอสซีอิ๊วดำ
171,พริกไทย
172,พริกแห้งเม็ดใหญ่
173,นํ้ามันพืช
174,ดอกมะขามอ่อน
175,ขนมจีน
176,หัวกิทะ
177,เต้าทอด
178,ข้าวเบือ
179,ลูกจันทน์เทศ
180,ใบชะพลู    
181,สับปะรด
182,ยอดผักกูด
183,ฟอสเฟต
184,กระเทียมสับ  
185,มันหมู
186,กุ้งสับ  
187,น้ำซุปกระดุกหมู
188,แครอต  
189,หอยแครง
190,แครอต
191,พริกไทยดำป่น
192,ฟักทอง 
193,แป้งข้าวเจ้า
194,ใบชะมวงอ่อน
195,น้ำตาลปี๊บสำหรับน้ำจิ้ม
196,หมูยอดิบ
197,พริกขี้กนูสวนเฉียง
198,พริกชิ้ฟ้า
199,พริกเสฉวน
200,น้ำจิ้มลวกจิ้ม
201,ดอกกะหล่ำ
202,ยอดมะระอ่อน
203,น้ำซุปกระะดูกหมู
204,ขึ้นฉ่าย
205,ดอกดาหลา
206,คะน้า
207,น้ำเย็น
208,น้ำจิ้มบ๋วย
209,น้ำจิ้มข้าวมันไก่
210,ถัวลันเตา
211,น้ำซุปหมู
212,เนื้อปลากรายขูด
213,ปลาช่อน
214,ซอสปรุงรส  
215,ขนุน
216,เกล็ดขนมปัง
217,ผิวมะนาว
218,เนื้อปลากราย
219,แป้งสาลี
220,เนื้อปลาทับทิม
221,เนื้อปลาช่อน
222,ซอสถ้วยเหลือง
223,กระเพราะหมู
224,ฟักเขียว
225,ซอสโชยุ
226,เม็ดข้าวโพด
227,เครื่องตุ๋นยาจีน
228,หอมหัวใหญ่  
229,มะม่วงแก้วดิบ
230,พริกไทยสด
231,เส้นหมี่โคราช
232,สตอเบอรี่
233,เต้าหู้ไข่
234,ข้าวโพดอ่อน
235,น้ำมันสำหรับทอดหมู
236,มะเขือยาว
237,น้ำจิ้มซีฟู๊ด
238,หัวไชเท้า
239,แป้งข้าวจ้าว
240,ผักกะหล่ำปลี
241,ซอสถ้่วเหลือง
242,ปลาดุก
243,กะปิ
244,ชีส
245,ฝักมะขามอ่อน
246,ขนมปังฝรั่งเศสเล็ก
247,น้ำสลัด
248,ซาวร์ครีม
249,กุนเชียง
250,ใบตองและไม้กลัดสำหรับห่อข้าวเหนียว
251,ไข่เจียวชะอม
252,แหนมหม้อ
253,เห็ดเป๋าฮื้อ
254,น้ำเปล่าต้มสุก
255,เนื้อปลาดุกย่าง
256,น้ำพริกแกงคั่ว
257,ดอกโสน
258,ข้าวสาร
259,ซอสหอยนางรม  
260,งาเกลือ
261,ตะไคร้เป็นท่อน
262,น้ำเปล่า 
263,เส้นบุก
264,น้ำมันงา  
265,หัวปลี
266,พริกหวานสีเขียวสีแดงสีเหลือง
267,ขิง
268,กล้วยไข่
269,ผงฮังเล
270,ไก่
271,เนื้อปลาดุก
272,ไม้จิ้มลูกชิ้น
273,ไข่ขาว  
274,บะหมี่
275,เนื้อปลาดอรี่
276,โปรตีนเกษตรแผ่น
277,โคนต้นหอมญี่ปุ่น
278,น้ำสะอาด
279,แซลมอน
280,เห็นหอม
281,มะนาว  
282,หอยลาย
283,รากบัว
284,ผักกาดขาว
285,ผักโขม
286,มะระสด
287,เนื้อมะเขีอเทศ
288,ซีอิ๊วดำ
289,ซอสมิโซะ
290,ใบตอง
291,ผงปรุงรส
292,น้ำตาลแดงประมาณ
293,หอมแดง 
294,พริกสด
295,พริกเม็ดใหญ่
296,น้ำมันหอย  
297,ซี่โครงหมู
298,เนื้อฟักทอง
299,ใบแมงลัก
300,กระดูกเล้ง
301,น้ำจิ้มแจ่ว
302,ขึ้นฉ่าย 
303,แฮม
304,พริกชี้ฟ้า
305,ยอดตำลึง
306,น่้าปลา
307,แป้ง
308,น้ำพริกเผา  
309,พริกไทย 
310,หมูยอเป็นชิ้น
311,หอม
312,ถั่วลงสงคั่ว
313,หอมแดงเจียว 
314,มะม่วง
315,หนังหมู
316,หมูหยอง
